date,type,year,avg_price,size,nb_sold
2015-12-27,conventional,2015,0.95,small,9626901.09
2015-12-20,conventional,2015,0.98,small,8710021.76
2015-12-13,conventional,2015,0.93,small,9855053.66
2015-12-06,conventional,2015,0.89,small,9405464.36
2015-11-29,conventional,2015,0.99,small,8094803.56
2015-11-22,conventional,2015,0.96,small,8571849.8
2015-11-15,conventional,2015,0.92,small,9907981.27
2015-11-08,conventional,2015,0.97,small,9991330.31
2015-11-01,conventional,2015,0.97,small,10138703.85
2015-10-25,conventional,2015,1.04,small,8683958.8
2015-10-18,conventional,2015,0.99,small,9162094.14
2015-10-11,conventional,2015,1.0,small,8828340.53
2015-10-04,conventional,2015,1.02,small,8353619.97
2015-09-27,conventional,2015,1.03,small,8454208.8
2015-09-20,conventional,2015,1.02,small,9422275.27
2015-09-13,conventional,2015,1.03,small,9875018.48
2015-09-06,conventional,2015,1.02,small,12569277.14
2015-08-30,conventional,2015,1.07,small,11650976.87
2015-08-23,conventional,2015,1.08,small,11283021.31
2015-08-16,conventional,2015,1.05,small,12680252.48
2015-08-09,conventional,2015,1.05,small,13003371.07
2015-08-02,conventional,2015,1.09,small,12115233.76
2015-07-26,conventional,2015,1.07,small,12196225.93
2015-07-19,conventional,2015,1.07,small,12742760.17
2015-07-12,conventional,2015,1.07,small,12384449.4
2015-07-05,conventional,2015,1.04,small,15643939.37
2015-06-28,conventional,2015,1.06,small,13299568.71
2015-06-21,conventional,2015,1.02,small,14699604.93
2015-06-14,conventional,2015,0.98,small,16383685.07
2015-06-07,conventional,2015,1.0,small,16529797.6
2015-05-31,conventional,2015,1.03,small,15503613.33
2015-05-24,conventional,2015,1.04,small,16000107.8
2015-05-17,conventional,2015,1.06,small,14615941.59
2015-05-10,conventional,2015,1.02,small,16215328.75
2015-05-03,conventional,2015,0.96,small,17787611.93
2015-04-26,conventional,2015,1.07,small,13833715.28
2015-04-19,conventional,2015,1.03,small,14251319.31
2015-04-12,conventional,2015,1.02,small,14793354.18
2015-04-05,conventional,2015,1.06,small,13939014.43
2015-03-29,conventional,2015,1.04,small,12524637.04
2015-03-22,conventional,2015,1.01,small,13697405.61
2015-03-15,conventional,2015,1.04,small,13149988.71
2015-03-08,conventional,2015,1.02,small,13013750.35
2015-03-01,conventional,2015,0.97,small,13282222.98
2015-02-22,conventional,2015,1.02,small,12628562.36
2015-02-15,conventional,2015,1.03,small,12626615.3
2015-02-08,conventional,2015,0.95,small,13308193.4
2015-02-01,conventional,2015,0.89,small,18933038.04
2015-01-25,conventional,2015,1.04,small,12167445.03
2015-01-18,conventional,2015,1.03,small,11858139.34
