id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
1001,Gábor Király,69,GK,191,Right,0,,,,,,,70.0,66.0,63.0,74.0,35.0,66.0
100143,Frederik Boi,65,M,184,Right,0,61.0,0.65,63.0,59.0,62.0,62.0,,,,,,
100264,Tomasz Szewczuk,57,A,185,Right,0,65.0,0.54,43.0,53.0,55.0,74.0,,,,,,
100325,Steeve Joseph-Reinette,63,D,180,Left,0,68.0,0.38,51.0,46.0,64.0,71.0,,,,,,
100326,Kamel Chafni,72,M,181,Right,0,75.0,0.64,67.0,72.0,57.0,66.0,,,,,,
100329,Abdoulaye Faye,72,D,187,Right,1,50.0,0.37,47.0,43.0,76.0,82.0,,,,,,
100330,José Saez,67,M,170,Right,0,53.0,0.6,65.0,61.0,64.0,60.0,,,,,,
100391,Laurent Delorge,67,M,179,Right,0,76.0,0.58,67.0,64.0,63.0,56.0,,,,,,
100521,David Noble,64,M,183,Right,1,62.0,0.52,66.0,65.0,56.0,53.0,,,,,,
100522,Dominic Foley,62,A,186,Left,1,34.0,0.65,55.0,55.0,56.0,77.0,,,,,,
100557,Brian Barry-Murphy,60,M,185,Left,0,61.0,0.54,60.0,47.0,60.0,48.0,,,,,,
100559,Paul McKenna,68,M,170,Right,0,53.0,0.65,68.0,63.0,70.0,69.0,,,,,,
100574,Paweł Abbott,59,A,187,Right,0,51.0,0.6,49.0,51.0,54.0,64.0,,,,,,
100578,Richard Cresswell,66,A,183,Right,1,56.0,0.63,53.0,49.0,62.0,72.0,,,,,,
100580,David Healy,69,A,173,Right,0,64.0,0.72,51.0,60.0,48.0,69.0,,,,,,
100585,Dickson Etuhu,75,M,188,Right,1,59.0,0.55,64.0,63.0,80.0,72.0,,,,,,
100670,Ashley Westwood,54,D,183,Right,0,47.0,0.26,39.0,40.0,62.0,57.0,,,,,,
100701,Paul Ifill,70,A,180,Right,0,72.0,0.65,59.0,78.0,54.0,52.0,,,,,,
100707,David Artell,59,D,188,Right,0,48.0,0.27,38.0,36.0,65.0,68.0,,,,,,
100743,Martin Rowlands,64,M,175,Right,1,52.0,0.6,66.0,66.0,63.0,59.0,,,,,,
100745,Paul Smith,64,GK,193,Right,1,,,,,,,65.0,62.0,55.0,67.0,41.0,62.0
100751,Kevin O'Connor,59,D,180,Right,0,53.0,0.48,60.0,53.0,62.0,55.0,,,,,,
100756,Stephen Hunt,56,D,185,Left,0,67.0,0.32,46.0,46.0,59.0,63.0,,,,,,
100758,Jay Tabb,63,M,170,Left,1,69.0,0.58,66.0,65.0,59.0,66.0,,,,,,
100792,Brynjar Gunnarsson,61,M,183,Right,0,34.0,0.54,61.0,65.0,68.0,66.0,,,,,,
100798,James O'Connor,63,M,173,Right,0,61.0,0.53,61.0,60.0,68.0,70.0,,,,,,
100803,Karl Henry,71,M,185,Right,0,55.0,0.5700000000000001,71.0,71.0,73.0,64.0,,,,,,
100804,Gareth Owen,62,D,185,Left,0,61.0,0.19,48.0,46.0,65.0,67.0,,,,,,
